uname,lv0,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,total
Dan,1355,380,975,0,0,0,0,0,0,0,0,0
Cxlys,99999999,400,1000,300,0,0,0,0,0,0,0,0
